PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction
SP_837400_1630860,-83.739,163.086,194.861,1138,0.005272407732864675,0.3224956063268893
SP_844580_3134320,-84.458,313.432,315.029,1784,0.0033632286995515697,0.10145739910313901
SP_817610_0619190,-81.761,61.919,79.178,460,0.002173913043478261,0.29782608695652174
SP_841180_2482770,-84.118,248.277,6.106,14,0.0,0.5
SP_818570_2309500,-81.857,230.95,7.708,44,0.0,0.5227272727272727
SP_836970_1935950,-83.697,193.595,7.805,46,0.0,0.08695652173913043
SP_813840_3355180,-81.384,335.518,5.225,26,0.0,0.07692307692307693
SP_811530_3275110,-81.153,327.511,6.073,32,0.0,0.25
SP_845100_3325830,-84.51,332.583,6.192,6,0.0,0.5
SP_807960_1146420,-80.796,114.642,11.745,62,0.0,0.12903225806451613
SP_820070_0167090,-82.007,16.709,12.994,53,0.0,0.6981132075471698
SP_844930_2526440,-84.493,252.644,6.743,39,0.0,0.6923076923076923
SP_810930_3197620,-81.093,319.762,6.732,26,0.0,0.11538461538461539
SP_827640_0162250,-82.764,16.225,6.26,37,0.0,0.02702702702702703
SP_802230_0561110,-80.223,56.111,16.119,7,0.0,0.14285714285714285
SP_840060_2508150,-84.006,250.815,7.83,31,0.0,0.41935483870967744
SP_875190_1358460,-87.519,135.846,5.432,19,0.0,0.5263157894736842
SP_830450_2084240,-83.045,208.424,6.772,39,0.0,0.1794871794871795
SP_836770_1968510,-83.677,196.851,5.134,31,0.0,0.0967741935483871
SP_827050_2262610,-82.705,226.261,5.735,32,0.0,0.53125
SP_831800_2218340,-83.18,221.834,5.976,7,0.0,0.42857142857142855
SP_814860_0681830,-81.486,68.183,11.279,67,0.0,0.373134328358209
SP_840800_1772640,-84.08,177.264,9.0,55,0.0,0.5818181818181818
SP_820270_2146540,-82.027,214.654,7.132,42,0.0,0.4523809523809524
SP_824820_3550120,-82.482,355.004,124.33,237,0.0,0.08016877637130802
SP_814210_0535940,-81.421,53.594,9.403,51,0.0,0.0392156862745098
SP_883220_1475060,-88.322,147.506,50.702,23,0.0,0.043478260869565216
SP_837200_2975300,-83.72,297.531,10.094,57,0.0,0.7192982456140351
SP_869020_0278760,-86.902,27.874,11.495,69,0.0,0.07246376811594203
SP_843980_2899650,-84.398,289.965,19.775,28,0.0,0.17857142857142858
SP_889970_3170870,-88.997,317.091,44.323,54,0.0,0.16666666666666666
SP_889130_1507620,-88.913,150.762,15.563,48,0.0,0.625
SP_878330_1263810,-87.832,126.38,11.099,66,0.0,0.09090909090909091
SP_887280_1688800,-88.728,168.88,88.607,199,0.0,0.7286432160804021
SP_882670_1568690,-88.267,156.869,10.897,39,0.0,0.8717948717948718
SP_835620_2995530,-83.562,299.553,10.138,62,0.0,0.8064516129032258
SP_865300_2381460,-86.53,238.146,10.361,13,0.0,0.0
SP_856730_2119650,-85.673,211.965,12.078,63,0.0,0.19047619047619047
SP_855490_2096710,-85.549,209.672,13.979,81,0.0,0.1728395061728395
SP_848000_2061800,-84.8,206.179,20.693,9,0.0,0.0
SP_824700_2291520,-82.47,229.151,15.804,15,0.0,1.0
SP_822730_2243490,-82.273,224.347,15.422,89,0.0,0.0898876404494382
SP_822920_2211100,-82.291,221.109,16.646,79,0.0,0.05063291139240506
SP_847970_3070080,-84.797,307.005,22.835,135,0.0,0.0
SP_846040_3080410,-84.603,308.044,13.741,80,0.0,0.0
SP_847970_3487750,-84.797,348.775,7.729,1,0.0,0.0
SP_810340_0483070,-81.034,48.306,11.729,56,0.0,0.017857142857142856
SP_802260_0424290,-80.226,42.429,99.882,72,0.0,0.09722222222222222
SP_800780_0456630,-80.077,45.661,37.537,101,0.0,0.12871287128712872
SP_825890_0285130,-82.588,28.517,11.916,30,0.0,0.06666666666666667
SP_836140_3528490,-83.613,352.852,15.3,41,0.0,0.04878048780487805
SP_816970_3196200,-81.697,319.62,15.415,52,0.0,0.038461538461538464
SP_809640_3141160,-80.964,314.116,11.815,66,0.0,0.4393939393939394
SP_804650_0491050,-80.465,49.105,17.993,92,0.0,0.5217391304347826
SP_837240_0195180,-83.724,19.518,17.662,106,0.0,0.5188679245283019
SP_850590_3238160,-85.059,323.808,46.526,4,0.0,0.0
SP_806510_0507610,-80.65,50.761,15.109,87,0.0,0.27586206896551724
SP_841060_3423520,-84.106,342.352,19.192,112,0.0,0.20535714285714285
SP_842430_3468180,-84.243,346.818,41.083,239,0.0,0.5271966527196653
SP_816240_3094250,-81.624,309.421,10.415,46,0.0,0.0
SP_842140_3232340,-84.214,323.223,14.342,77,0.0,0.012987012987012988
SP_846070_3232410,-84.607,323.236,43.542,87,0.0,0.08045977011494253
SP_820540_0583270,-82.054,58.327,12.11,20,0.0,0.45
